start_time,BTCUSDT_close,BTCUSDT_low,BTCUSDT_high,BTCUSDT_open
2024-09-11T00:25:00.000,57513.990000,57490.000000,57513.990000,57493.500000
2024-09-11T00:26:00.000,57480.010000,57480.000000,57514.000000,57513.990000
2024-09-11T00:27:00.000,57459.430000,57451.250000,57480.010000,57480.000000
2024-09-11T00:28:00.000,57497.990000,57438.340000,57498.000000,57459.430000
2024-09-11T00:29:00.000,57513.600000,57497.990000,57520.000000,57497.990000
2024-09-11T00:30:00.000,57511.590000,57494.000000,57513.610000,57513.600000
2024-09-11T00:31:00.000,57513.150000,57490.000000,57520.000000,57511.590000
2024-09-11T00:32:00.000,57498.000000,57468.950000,57513.160000,57513.150000
2024-09-11T00:33:00.000,57497.530000,57489.990000,57498.000000,57498.000000
2024-09-11T00:34:00.000,57550.950000,57494.000000,57553.740000,57497.540000
2024-09-11T00:35:00.000,57598.000000,57544.000000,57598.000000,57550.960000
2024-09-11T00:36:00.000,57590.830000,57590.830000,57598.000000,57597.990000
2024-09-11T00:37:00.000,57612.010000,57590.830000,57626.000000,57590.830000
2024-09-11T00:38:00.000,57630.000000,57612.000000,57630.000000,57612.010000
2024-09-11T00:39:00.000,57622.000000,57622.000000,57644.740000,57630.000000
2024-09-11T00:40:00.000,57607.990000,57600.000000,57622.010000,57622.000000
2024-09-11T00:41:00.000,57612.010000,57591.100000,57620.000000,57607.990000
2024-09-11T00:42:00.000,57636.540000,57612.000000,57639.990000,57612.010000
2024-09-11T00:43:00.000,57624.000000,57616.000000,57636.540000,57636.530000
2024-09-11T00:44:00.000,57650.000000,57623.990000,57656.000000,57623.990000
2024-09-11T00:45:00.000,57656.000000,57638.000000,57656.000000,57650.000000
2024-09-11T00:46:00.000,57619.250000,57619.250000,57656.000000,57655.990000
2024-09-11T00:47:00.000,57666.660000,57619.260000,57676.830000,57619.260000
2024-09-11T00:48:00.000,57678.010000,57662.000000,57687.710000,57666.670000
2024-09-11T00:49:00.000,57645.640000,57645.640000,57678.010000,57678.000000
2024-09-11T00:50:00.000,57612.010000,57612.000000,57645.000000,57645.000000
2024-09-11T00:51:00.000,57607.960000,57597.000000,57623.530000,57612.000000
2024-09-11T00:52:00.000,57569.620000,57569.620000,57607.960000,57607.960000
2024-09-11T00:53:00.000,57578.000000,57566.000000,57578.000000,57569.620000
2024-09-11T00:54:00.000,57581.890000,57568.000000,57581.900000,57578.000000
2024-09-11T00:55:00.000,57582.010000,57572.000000,57583.680000,57581.900000
2024-09-11T00:56:00.000,57629.990000,57582.000000,57630.000000,57582.000000
2024-09-11T00:57:00.000,57654.000000,57623.990000,57654.000000,57629.990000
2024-09-11T00:58:00.000,57658.000000,57654.000000,57676.000000,57654.000000
2024-09-11T00:59:00.000,57640.500000,57640.500000,57658.000000,57658.000000
2024-09-11T01:00:00.000,57637.990000,57616.000000,57654.130000,57640.510000
2024-09-11T01:01:00.000,57611.850000,57604.000000,57638.000000,57637.990000
2024-09-11T01:02:00.000,57560.000000,57560.000000,57611.850000,57611.850000
2024-09-11T01:03:00.000,57582.000000,57550.010000,57582.000000,57560.000000
2024-09-11T01:04:00.000,57571.990000,57562.000000,57587.990000,57582.000000
2024-09-11T01:05:00.000,57578.950000,57571.990000,57588.000000,57572.000000
2024-09-11T01:06:00.000,57568.010000,57568.000000,57588.000000,57578.950000
2024-09-11T01:07:00.000,57567.990000,57548.000000,57588.000000,57568.000000
2024-09-11T01:08:00.000,57562.440000,57560.000000,57568.000000,57568.000000
2024-09-11T01:09:00.000,57559.670000,57558.000000,57583.590000,57562.440000
2024-09-11T01:10:00.000,57674.000000,57559.680000,57674.000000,57559.680000
2024-09-11T01:11:00.000,57690.010000,57671.090000,57750.000000,57674.000000
2024-09-11T01:12:00.000,57732.000000,57686.010000,57732.000000,57690.000000
