start_time,BTCUSDT_open,BTCUSDT_low,BTCUSDT_high,BTCUSDT_close
2024-09-10T00:00:00.000,57042.010000,57010.620000,57065.340000,57017.180000
2024-09-10T00:01:00.000,57017.190000,56914.430000,57017.190000,56974.000000
2024-09-10T00:02:00.000,56974.000000,56922.000000,56980.000000,56938.010000
2024-09-10T00:03:00.000,56938.020000,56900.000000,56951.990000,56909.990000
2024-09-10T00:04:00.000,56910.000000,56910.000000,56982.320000,56982.320000
2024-09-10T00:05:00.000,56982.310000,56940.000000,56984.260000,56944.000000
2024-09-10T00:06:00.000,56944.010000,56932.000000,56958.660000,56948.710000
2024-09-10T00:07:00.000,56948.700000,56914.000000,56948.700000,56927.180000
2024-09-10T00:08:00.000,56927.180000,56869.650000,56939.800000,56889.210000
2024-09-10T00:09:00.000,56889.210000,56889.200000,56941.100000,56926.010000
2024-09-10T00:10:00.000,56926.000000,56904.000000,56926.010000,56912.210000
2024-09-10T00:11:00.000,56912.220000,56862.000000,56924.000000,56862.000000
2024-09-10T00:12:00.000,56862.010000,56840.000000,56867.980000,56840.000000
2024-09-10T00:13:00.000,56840.010000,56789.000000,56840.010000,56808.000000
2024-09-10T00:14:00.000,56808.000000,56738.000000,56813.990000,56738.000000
2024-09-10T00:15:00.000,56738.000000,56738.000000,56784.000000,56773.570000
2024-09-10T00:16:00.000,56773.580000,56700.000000,56773.580000,56733.990000
2024-09-10T00:17:00.000,56734.000000,56734.000000,56786.000000,56786.000000
2024-09-10T00:18:00.000,56786.000000,56700.000000,56786.000000,56736.000000
2024-09-10T00:19:00.000,56736.000000,56728.000000,56815.460000,56801.000000
2024-09-10T00:20:00.000,56800.010000,56776.010000,56840.000000,56786.000000
2024-09-10T00:21:00.000,56786.000000,56734.170000,56786.000000,56760.000000
2024-09-10T00:22:00.000,56760.000000,56726.010000,56760.010000,56735.980000
2024-09-10T00:23:00.000,56735.970000,56673.590000,56735.980000,56684.960000
2024-09-10T00:24:00.000,56684.950000,56661.100000,56695.000000,56679.990000
2024-09-10T00:25:00.000,56679.980000,56638.000000,56704.000000,56704.000000
2024-09-10T00:26:00.000,56703.990000,56656.000000,56704.000000,56656.280000
2024-09-10T00:27:00.000,56656.280000,56642.850000,56662.000000,56657.990000
2024-09-10T00:28:00.000,56657.990000,56624.500000,56678.000000,56670.010000
2024-09-10T00:29:00.000,56670.000000,56632.010000,56696.000000,56632.010000
2024-09-10T00:30:00.000,56632.020000,56632.010000,56681.110000,56680.000000
2024-09-10T00:31:00.000,56680.000000,56670.000000,56765.840000,56757.810000
2024-09-10T00:32:00.000,56757.800000,56718.010000,56784.000000,56784.000000
2024-09-10T00:33:00.000,56784.000000,56778.000000,56818.000000,56778.010000
2024-09-10T00:34:00.000,56778.010000,56722.000000,56786.000000,56722.000000
2024-09-10T00:35:00.000,56722.000000,56714.000000,56765.990000,56765.990000
2024-09-10T00:36:00.000,56765.980000,56764.010000,56798.000000,56798.000000
2024-09-10T00:37:00.000,56798.000000,56797.990000,56836.780000,56831.980000
2024-09-10T00:38:00.000,56831.980000,56831.980000,56892.300000,56848.000000
2024-09-10T00:39:00.000,56848.010000,56841.100000,56884.800000,56884.800000
2024-09-10T00:40:00.000,56884.790000,56838.880000,56887.140000,56851.990000
2024-09-10T00:41:00.000,56851.990000,56811.100000,56852.000000,56826.000000
2024-09-10T00:42:00.000,56825.990000,56817.200000,56844.000000,56817.210000
2024-09-10T00:43:00.000,56817.200000,56813.650000,56834.640000,56831.990000
2024-09-10T00:44:00.000,56832.000000,56831.990000,56858.000000,56846.000000
2024-09-10T00:45:00.000,56846.010000,56818.000000,56862.000000,56818.010000
2024-09-10T00:46:00.000,56818.000000,56816.000000,56890.000000,56889.450000
2024-09-10T00:47:00.000,56889.450000,56880.000000,56900.000000,56880.000000
2024-09-10T00:48:00.000,56880.000000,56854.000000,56884.000000,56883.990000
2024-09-10T00:49:00.000,56883.990000,56883.990000,56924.560000,56898.000000
2024-09-10T00:50:00.000,56897.990000,56897.990000,56938.000000,56935.870000
2024-09-10T00:51:00.000,56935.880000,56924.000000,56935.880000,56933.990000
2024-09-10T00:52:00.000,56933.990000,56911.360000,56939.840000,56911.360000
2024-09-10T00:53:00.000,56911.370000,56888.590000,56932.000000,56932.000000
2024-09-10T00:54:00.000,56932.000000,56931.990000,56939.510000,56935.980000
2024-09-10T00:55:00.000,56935.980000,56935.980000,56976.760000,56976.760000
2024-09-10T00:56:00.000,56976.750000,56974.000000,56984.800000,56984.790000
2024-09-10T00:57:00.000,56984.790000,56984.790000,57001.100000,56996.010000
2024-09-10T00:58:00.000,56996.000000,56975.240000,57001.100000,57001.090000
2024-09-10T00:59:00.000,57001.090000,56982.000000,57001.100000,56982.010000
2024-09-10T01:00:00.000,56982.010000,56982.000000,57010.000000,57002.100000
2024-09-10T01:01:00.000,57002.100000,56942.000000,57002.110000,56942.000000
2024-09-10T01:02:00.000,56942.010000,56934.660000,56996.000000,56995.990000
2024-09-10T01:03:00.000,56996.000000,56995.990000,57011.300000,57011.300000
2024-09-10T01:04:00.000,57011.300000,57011.300000,57031.100000,57012.000000
2024-09-10T01:05:00.000,57012.000000,57000.000000,57030.000000,57020.060000
2024-09-10T01:06:00.000,57020.060000,56993.130000,57020.060000,57004.000000
2024-09-10T01:07:00.000,57004.000000,56977.250000,57004.000000,56988.000000
2024-09-10T01:08:00.000,56987.990000,56987.990000,57004.000000,57003.990000
2024-09-10T01:09:00.000,57004.000000,57003.990000,57029.990000,57029.980000
2024-09-10T01:10:00.000,57029.990000,57004.000000,57050.720000,57004.000000
2024-09-10T01:11:00.000,57004.000000,57002.000000,57019.990000,57009.990000
2024-09-10T01:12:00.000,57010.000000,57009.990000,57038.000000,57020.000000
2024-09-10T01:13:00.000,57020.000000,57002.000000,57020.010000,57004.010000
2024-09-10T01:14:00.000,57004.000000,56986.810000,57004.010000,56990.000000
2024-09-10T01:15:00.000,56990.000000,56924.630000,56992.000000,56936.890000
2024-09-10T01:16:00.000,56936.880000,56934.700000,56968.000000,56934.700000
2024-09-10T01:17:00.000,56934.700000,56934.700000,56951.100000,56946.980000
2024-09-10T01:18:00.000,56946.970000,56911.790000,56946.980000,56911.790000
2024-09-10T01:19:00.000,56911.790000,56900.000000,56911.800000,56900.000000
2024-09-10T01:20:00.000,56900.000000,56858.740000,56900.010000,56866.000000
2024-09-10T01:21:00.000,56866.000000,56862.000000,56876.000000,56870.000000
2024-09-10T01:22:00.000,56870.000000,56851.360000,56870.010000,56855.190000
2024-09-10T01:23:00.000,56855.190000,56855.190000,56898.000000,56897.990000
2024-09-10T01:24:00.000,56897.990000,56897.990000,56936.990000,56930.000000
2024-09-10T01:25:00.000,56930.000000,56904.010000,56941.100000,56904.070000
2024-09-10T01:26:00.000,56904.070000,56904.060000,56961.100000,56961.100000
2024-09-10T01:27:00.000,56961.100000,56952.000000,56973.990000,56973.980000
2024-09-10T01:28:00.000,56973.990000,56956.250000,56973.990000,56960.000000
2024-09-10T01:29:00.000,56959.990000,56874.000000,56960.000000,56874.010000
2024-09-10T01:30:00.000,56874.010000,56855.190000,56880.070000,56855.190000
2024-09-10T01:31:00.000,56855.190000,56816.000000,56860.170000,56821.160000
2024-09-10T01:32:00.000,56821.160000,56821.160000,56838.000000,56834.280000
2024-09-10T01:33:00.000,56834.280000,56817.590000,56834.280000,56827.990000
2024-09-10T01:34:00.000,56828.000000,56814.000000,56838.000000,56814.010000
2024-09-10T01:35:00.000,56814.010000,56814.010000,56860.000000,56852.000000
2024-09-10T01:36:00.000,56852.000000,56842.010000,56888.430000,56882.010000
2024-09-10T01:37:00.000,56882.000000,56862.010000,56900.000000,56889.990000
2024-09-10T01:38:00.000,56890.000000,56882.000000,56930.130000,56912.000000
2024-09-10T01:39:00.000,56911.990000,56876.000000,56911.990000,56879.880000
2024-09-10T01:40:00.000,56879.890000,56854.010000,56882.000000,56879.990000
2024-09-10T01:41:00.000,56879.990000,56854.000000,56879.990000,56854.010000
